DATE,Home_Price_Index,CPI,Federal_Funds_Rate,Housing_Inventory,Unemployment_Rate
2005-04-30,141.6965135135135,193.7,1.3195,125118.0,6.279999999999999
2005-05-01,169.35,235.16895,1.4823387096774194,134349.95,5.1
2005-05-31,142.29383783783786,193.6,1.4823387096774194,125118.0,6.18
2005-06-01,171.19,235.9516,1.7626142857142857,134349.95,5.0
2005-06-30,142.84156756756755,193.7,1.7626142857142857,125118.0,6.069999999999999
2005-07-01,172.859,236.4817,1.877870967741936,134646.95,5.0
2005-07-31,143.3706216216216,194.9,1.877870967741936,125619.0,5.985
2005-08-01,174.44299999999998,237.0388,1.9946451612903224,134646.95,4.9
2005-08-31,143.8768918918919,196.1,1.9946451612903224,125619.0,5.8950000000000005
2005-09-01,176.437,237.63905,2.0194666666666667,134646.95,5.0
2005-09-30,144.43591891891893,198.8,2.0194666666666667,125619.0,5.8100000000000005
2005-10-01,178.02599999999998,238.056,2.081741935483871,134941.5,5.0
2005-10-31,145.0206216216216,199.1,2.081741935483871,126104.0,5.76
2005-11-01,179.68,238.3139,2.165866666666667,134941.5,5.0
2005-11-30,145.5881891891892,198.1,2.165866666666667,126104.0,5.73
2005-12-01,180.909,238.64720000000003,2.2309677419354843,134941.5,4.9
2005-12-31,146.15837837837836,198.1,2.2309677419354843,126104.0,5.7
2006-01-01,182.32,236.64380952380955,2.275032258064516,134636.90476190476,4.7
2006-01-31,144.58284210526315,199.3,2.275032258064516,126584.0,5.6761904761904765
2006-02-01,183.287,233.62575,1.577204433497537,134050.0,4.8
2006-02-28,145.08786842105263,199.4,1.577204433497537,126584.0,5.75
2006-03-01,184.364,234.1403,1.392983870967742,134050.0,4.7
2006-03-31,145.76926315789473,199.7,1.392983870967742,126584.0,5.7700000000000005
2006-04-01,184.328,234.6422,1.3195,134349.95,4.7
2006-04-30,141.6965135135135,200.7,1.3195,127072.0,6.279999999999999
2006-05-01,184.155,235.16895,1.4823387096774194,134349.95,4.6
2006-05-31,142.29383783783786,201.3,1.4823387096774194,127072.0,6.18
2006-06-01,183.506,235.9516,1.7626142857142857,134349.95,4.6
2006-06-30,142.84156756756755,201.8,1.7626142857142857,127072.0,6.069999999999999
2006-07-01,183.066,236.4817,1.877870967741936,134646.95,4.7
2006-07-31,143.3706216216216,202.9,1.877870967741936,127548.0,5.985
2006-08-01,182.595,237.0388,1.9946451612903224,134646.95,4.7
2006-08-31,143.8768918918919,203.8,1.9946451612903224,127548.0,5.8950000000000005
2006-09-01,182.798,237.63905,2.0194666666666667,134646.95,4.5
2006-09-30,144.43591891891893,202.8,2.0194666666666667,127548.0,5.8100000000000005
2006-10-01,183.197,238.056,2.081741935483871,134941.5,4.4
2006-10-31,145.0206216216216,201.9,2.081741935483871,127991.0,5.76
2006-11-01,183.608,238.3139,2.165866666666667,134941.5,4.5
2006-11-30,145.5881891891892,202.0,2.165866666666667,127991.0,5.73
2006-12-01,184.138,238.64720000000003,2.2309677419354843,134941.5,4.4
2006-12-31,146.15837837837836,203.1,2.2309677419354843,127991.0,5.7
2007-01-01,184.515,236.64380952380955,2.275032258064516,134636.90476190476,4.6
2007-01-31,144.58284210526315,203.437,2.275032258064516,128439.0,5.6761904761904765
2007-02-01,184.597,233.62575,1.577204433497537,134050.0,4.5
2007-02-28,145.08786842105263,204.226,1.577204433497537,128439.0,5.75
2007-03-01,184.149,234.1403,1.392983870967742,134050.0,4.4
2007-03-31,145.76926315789473,205.288,1.392983870967742,128439.0,5.7700000000000005
2007-04-01,183.009,234.6422,1.3195,134349.95,4.5
2007-04-30,141.6965135135135,205.904,1.3195,128888.0,6.279999999999999
2007-05-01,181.6,235.16895,1.4823387096774194,134349.95,4.4
2007-05-31,142.29383783783786,206.755,1.4823387096774194,128888.0,6.18
2007-06-01,180.253,235.9516,1.7626142857142857,134349.95,4.6
2007-06-30,142.84156756756755,207.234,1.7626142857142857,128888.0,6.069999999999999
2007-07-01,179.109,236.4817,1.877870967741936,134646.95,4.7
2007-07-31,143.3706216216216,207.603,1.877870967741936,129300.0,5.985
2007-08-01,178.116,237.0388,1.9946451612903224,134646.95,4.6
2007-08-31,143.8768918918919,207.667,1.9946451612903224,129300.0,5.8950000000000005
2007-09-01,177.55599999999998,237.63905,2.0194666666666667,134646.95,4.7
2007-09-30,144.43591891891893,208.547,2.0194666666666667,129300.0,5.8100000000000005
2007-10-01,176.623,238.056,2.081741935483871,134941.5,4.7
2007-10-31,145.0206216216216,209.19,2.081741935483871,129634.0,5.76
2007-11-01,175.146,238.3139,2.165866666666667,134941.5,4.7
2007-11-30,145.5881891891892,210.834,2.165866666666667,129634.0,5.73
2007-12-01,174.34099999999998,238.64720000000003,2.2309677419354843,134941.5,5.0
2007-12-31,146.15837837837836,211.445,2.2309677419354843,129634.0,5.7
2008-01-01,173.13099999999997,236.64380952380955,2.275032258064516,134636.90476190476,5.0
2008-01-31,144.58284210526315,212.174,2.275032258064516,129968.0,5.6761904761904765
2008-02-01,171.53900000000002,233.62575,1.577204433497537,134050.0,4.9
2008-02-29,145.08786842105263,212.687,1.577204433497537,129968.0,5.75
2008-03-01,170.051,234.1403,1.392983870967742,134050.0,5.1
2008-03-31,145.76926315789473,213.448,1.392983870967742,129968.0,5.7700000000000005
2008-04-01,168.33599999999998,234.6422,1.3195,134349.95,5.0
2008-04-30,141.6965135135135,213.942,1.3195,130303.0,6.279999999999999
2008-05-01,166.657,235.16895,1.4823387096774194,134349.95,5.4
2008-05-31,142.29383783783786,215.208,1.4823387096774194,130303.0,6.18
2008-06-01,165.016,235.9516,1.7626142857142857,134349.95,5.6
2008-06-30,142.84156756756755,217.463,1.7626142857142857,130303.0,6.069999999999999
2008-07-01,163.564,236.4817,1.877870967741936,134646.95,5.8
2008-07-31,143.3706216216216,219.016,1.877870967741936,130590.0,5.985
2008-08-01,161.987,237.0388,1.9946451612903224,134646.95,6.1
2008-08-31,143.8768918918919,218.69,1.9946451612903224,130590.0,5.8950000000000005
2008-09-01,160.306,237.63905,2.0194666666666667,134646.95,6.1
2008-09-30,144.43591891891893,218.877,2.0194666666666667,130590.0,5.8100000000000005
2008-10-01,158.326,238.056,2.081741935483871,134941.5,6.5
2008-10-31,145.0206216216216,216.995,2.081741935483871,130797.0,5.76
2008-11-01,156.141,238.3139,2.165866666666667,134941.5,6.8
2008-11-30,145.5881891891892,213.153,2.165866666666667,130797.0,5.73
2008-12-01,153.618,238.64720000000003,2.2309677419354843,134941.5,7.3
2008-12-31,146.15837837837836,211.398,2.2309677419354843,130797.0,5.7
2009-01-01,151.507,236.64380952380955,2.275032258064516,134636.90476190476,7.8
2009-01-31,144.58284210526315,211.933,2.275032258064516,131001.0,5.6761904761904765
2009-02-01,150.015,233.62575,1.577204433497537,134050.0,8.3
